"query.text","query.parsed.housenumber","query.parsed.street","query.parsed.postcode","query.parsed.city","query.parsed.state","query.parsed.expected_type","datasource.sourcename","datasource.attribution","datasource.license","datasource.url","country","country_code","state","county","city","hamlet","postcode","street","housenumber","lon","lat","state_code","district","result_type","formatted","address_line1","address_line2","category","timezone.name","timezone.offset_STD","timezone.offset_STD_seconds","timezone.offset_DST","timezone.offset_DST_seconds","timezone.abbreviation_STD","timezone.abbreviation_DST","plus_code","plus_code_short","rank.importance","rank.popularity","rank.confidence","rank.confidence_city_level","rank.confidence_street_level","rank.match_type","place_id","distance","name","suburb","municipality","village","query.parsed.unit","ref","query.parsed.country","quarter","query.parsed.county"
"518 E Houghton AVE, West Branch, MI 48661","518","e houghton ave","48661","west branch","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ogemaw County","West Branch","","48661","East Houghton Avenue","518","-84.22641651020409","44.27617663265306","MI","","building","518 East Houghton Avenue, West Branch, MI 48661, United States of America","518 East Houghton Avenue","West Branch, MI 48661, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PQ7QGF+FC","GF+FC, 48661 West Branch, United States","-0.74","1.277511588771321","1","1","1","full_match","5177a6ac9b7d0e55c059089582c159234640f00102f901519b110100000000c00203","","","","","","","","","",""
"1864 US-23, East Tawas, MI 48730","1864","us-23","48730","east tawas","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Iosco County","East Tawas","","48730","US 23","","-83.428189","44.294384","MI","Baldwin Township","street","US 23, East Tawas, MI 48730, United States of America","US 23","East Tawas, MI 48730, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PR7HVC+QP","7HVC+QP East Tawas, Iosco County, United States","","1.2281833939134692","0.5","1","1","match_by_street","5172e0d57267db54c0599b3bfa5fae254640c00204e203266f70656e7374726565746d61703a7374726565743a706f6c796c696e653a3331373938323830","","","","","","","","","",""
"120 W Main ST, Stanton, MI 48888","120","w main st","48888","stanton","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Montcalm County","Stanton","","48888","West Main Street","120","-85.08189804081633","43.29266281632653","MI","","building","120 West Main Street, Stanton, MI 48888, United States of America","120 West Main Street","Stanton, MI 48888, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MP7WV9+36","+36, 48888 Stanton, United States","-0.74","1.4147318947381942","1","1","1","full_match","5168ba47d13d4555c0595970a4f975a54540f00102f9017927110100000000c00203","","","","","","","","","",""
"1205 Washington AVE, Suite B, Bay City, MI 48708","1205","washington ave","48708","bay city","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Bay County","Bay City","","48708","Washington Avenue","1205","-83.8872978367347","43.60220687755102","MI","","building","1205 Washington Avenue, Bay City, MI 48708, United States of America","1205 Washington Avenue","Bay City, MI 48708, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MRJ427+V3","27+V3, 48708 Bay City, United States","-0.8399999999999999","1.8487267048155367","1","1","1","full_match","5193a5dd7cc9f854c05903416e1d15cd4540f00102f9016b09383600000000c00203","","","","","","suite b","","","",""
"327 S. Main ST, Vassar, MI 48768","327","s. main st","48768","vassar","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Tuscola County","Vassar","","48768","South Main Street","327","-83.58591071428572","43.36843518367347","MI","","building","327 South Main Street, Vassar, MI 48768, United States of America","327 South Main Street","Vassar, MI 48768, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MR9C97+9J","97+9J Vassar, Tuscola County, United States","-0.74","1.4860133495030208","1","1","1","full_match","51ec0ea78f7fe554c059624954e228af4540f00102f9017852120100000000c00203","","","","","","","","","",""
"1730 U.S. 23 HWY, East Tawas, MI 48730","1730","u. 23 hwy","48730","east tawas","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Iosco County","East Tawas","","","","","-83.490252","44.279461","MI","","city","East Tawas, MI, United States of America","East Tawas, MI","United States of America","administrative","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PR7GH5+QV","+QV East Tawas, Iosco County, United States","0.5701859567047569","1.2332033811078609","0.25","1","","match_by_city_or_disrict","511cb3ec4960df54c059f4c0c760c5234640f00101f9015b0d020000000000c00208","0","","","","","","","","",""
"45 East Huron RD, Omer, MI 48749","45","east huron rd","48749","omer","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Arenac County","Omer","","48749","East Huron Road","","-83.8376224","44.0477309","MI","","street","East Huron Road, Omer, MI 48749, United States of America","East Huron Road","Omer, MI 48749, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PR25X6+3X","","0.6100099999999999","1.3359716269848614","0.5","1","1","match_by_street","516999fb9a9bf554c0591b41cf0b1c064640f00102f9014f680e0100000000c0020492030f45617374204875726f6e20526f6164","","East Huron Road","","Arenac Township","","","US 23","","",""
"800 Broadway ST, Bay City, MI 48708","800","broadway st","48708","bay city","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Bay County","Bay City","","48708","Broadway Street","800","-83.893648","43.579503","MI","","building","800 Broadway Street, Bay City, MI 48708, United States of America","800 Broadway Street","Bay City, MI 48708, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MRH4H4+RG","H4+RG, 48708 Bay City, United States","-0.8399999999999999","1.7019727187109692","1","1","1","full_match","51b188618731f954c0598a7780272dca4540f00102f901ea97333600000000c00203","","","","","","","","","",""
"2301 44th Street SE, Grand Rapids, MI 49508","2301","44th street se","49508","grand rapids","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Kent County","Grand Rapids","","49508","44th Street SE","2301","-85.608725","42.884474","MI","Grand Rapids","building","2301 44th Street SE, Grand Rapids, MI 49508, United States of America","2301 44th Street SE","Grand Rapids, MI 49508, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JPV9MR+QG","V9MR+QG, 49508 Grand Rapids, United States","","2.4020699220506647","1","1","1","full_match","517dd0b359f56655c059c614ac7136714540c00203e203466f70656e6164647265737365733a616464726573733a75732f6d692f6b656e742d6164647265737365732d636f756e74792e6373763a36363937303736353236313531386436","","","","","","","","","",""
"1148 Leonard Street NW, Grand Rapids, MI 49504","1148","leonard street nw","49504","grand rapids","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kent County","Grand Rapids","","49504","Leonard Street Northwest","1148","-85.69722402040816","42.98542573469388","MI","","building","1148 Leonard Street Northwest, Grand Rapids, MI 49504, United States of America","1148 Leonard Street Northwest","Grand Rapids, MI 49504, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JPX8P3+54","X8P3+54, 49504 Grand Rapids, United States","-0.8399999999999999","2.7191530126803714","1","1","1","full_match","51e0687f519f6c55c059d092336e227e4540f00102f901df372b4400000000c00203","","","","","","","","","",""
"4037 S. Westnedge AVE, Kalamazoo, MI 49008","4037","s. westnedge ave","49008","kalamazoo","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kalamazoo County","Kalamazoo","","49008","South Westnedge Avenue","4037","-85.58955663265306","42.25046485714286","MI","","building","4037 South Westnedge Avenue, Kalamazoo, MI 49008, United States of America","4037 South Westnedge Avenue","Kalamazoo, MI 49008, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7C26+55","7C26+55 Kalamazoo, Kalamazoo County, United States","-0.74","2.5203106979856016","1","1","1","full_match","51a018be4bbb6555c059ea1c813b0f204540f00102f90171feb12d00000000c00203","","","","","","","","","",""
"1265 E. Laketon AVE, Muskegon, MI 49442","1265","e. laketon ave","49442","muskegon","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Muskegon County","Muskegon","","49442","East Laketon Avenue","1265","-86.21295475","43.2193880625","MI","","building","1265 East Laketon Avenue, Muskegon, MI 49442, United States of America","1265 East Laketon Avenue","Muskegon, MI 49442, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MM6Q9P+QR","6Q9P+QR Muskegon, Muskegon County, United States","-0.74","1.5644001438333301","1","1","1","full_match","51c8b1f50ca18d55c05900c974e8149c4540f00102f901a4b9ec4700000000c00203","","","","Muskegon Charter Township","","","","","",""
"617 Packard, Ann Arbor, MI 48104","617","packard","48104","ann arbor","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Washtenaw County","Ann Arbor","","48104","Packard Street","617","-83.741","42.271494","MI","Ann Arbor","building","617 Packard Street, Ann Arbor, MI 48104, United States of America","617 Packard Street","Ann Arbor, MI 48104, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR77C5+HJ","C5+HJ Ann Arbor, Washtenaw County, United States","","4.2112123993902","0.9","1","0.9","full_match","518195438b6cef54c059b587bd50c0224540c00203e203486f70656e6164647265737365733a616464726573733a75732f6d692f73656d636f672d6164647265737365732d636f756e74792e6373763a38383935333837346235666162333639","","","Central Area","","","","","","",""
"262 S. Maple ST, Grant, MI 49327","262","s. maple st","49327","grant","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Newaygo County","Grant","","49327","South Maple Street","262","-85.81044357575757","43.3323948989899","MI","","building","262 South Maple Street, Grant, MI 49327, United States of America","262 South Maple Street","Grant, MI 49327, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MP85JQ+XR","","-0.74","1.388435333693006","1","1","1","full_match","517448bb4ede7355c059694282ea8baa4540f00102f901a9066e3f00000000c00203","","","","","","","","","",""
"823 West Michigan AVE, Kalamazoo, MI 49007","823","west michigan ave","49007","kalamazoo","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kalamazoo County","Kalamazoo","","49007","West Michigan Avenue","823","-85.59666649274703","42.28943049676078","MI","","building","823 West Michigan Avenue, Kalamazoo, MI 49007, United States of America","823 West Michigan Avenue","Kalamazoo, MI 49007, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7CQ3+Q8","Q3+Q8 Kalamazoo, Kalamazoo County, United States","-0.74","4.270216448906429","1","1","1","full_match","51ec3da8c82f6655c059bb06fb0e0c254540f00102f901673ca91c00000000c00203","","","","","","","","","",""
"1227 James P. Cole BLVD, Flint, MI 48503","1227","james cole blvd","48503","flint","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Genesee County","Flint","","48503","James P Cole Boulevard","1227","-83.68547012562813","43.028529914572864","MI","East Village Neighborhood","building","1227 James P Cole Boulevard, Flint, MI 48503, United States of America","1227 James P Cole Boulevard","Flint, MI 48503, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MR28H7+CR","28H7+CR Flint, Genesee County, United States","-0.8399999999999999","2.3820570875165883","1","1","1","full_match","514dfd16bedeeb54c059290645dea6834540f00102f90155fc3f2600000000c00203","","","","","","","","","",""
"831 Highview DR, Webberville, MI 48892","831","highview dr","48892","webberville","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ingham County","Webberville","","48892","Highview Drive","831","-84.19131241365463","42.65920532931727","MI","","building","831 Highview Drive, Webberville, MI 48892, United States of America","831 Highview Drive","Webberville, MI 48892, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQMR55+MF","MR55+MF Webberville, Ingham County, United States","-0.8399999999999999","1.9283527767898772","1","1","1","full_match","51cafd6b763e0c55c0591f6219d760544540f00102f9015fdb0f0100000000c00203","","","","Leroy Township","","","","","",""
"300 M-553, Suite 2, Sands Township, MI 49855","300","m-553","49855","sands township","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Marquette County","Sands Township","Crossroads","49855","M-553","300","-87.425249","46.464251","MI","","building","300 M-553, Sands Township, MI 49855, United States of America","300 M-553","Sands Township, MI 49855, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RJFH7F+PW","","-0.8399999999999999","1.0106705160229896","1","1","1","full_match","5107ea944737db55c0595111a7936c3b4740f00102f9019f616d2900000000c00203","","","","","","suite 2","","","",""
"140 S. Washington ST, Constantine, MI 49042","140","s. washington st","49042","constantine","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Saint Joseph County","Constantine","","49042","South Washington Street","140","-85.66889625581396","41.84171888372093","MI","","building","140 South Washington Street, Constantine, MI 49042, United States of America","140 South Washington Street","Constantine, MI 49042, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HPR8RJ+MC","+MC Constantine, Saint Joseph County, United States","-0.74","1.757613001071109","1","1","1","full_match","51d2c83d32cf6a55c059e600c371bdeb4440f00102f901981f120100000000c00203","","","","Constantine Township","","","","","",""
"20327 Groesbeck HWY, Detroit, MI 48205","20327","groesbeck hwy","48205","detroit","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Detroit","","48205","Groesbeck Highway","20327","-83.00455593959731","42.44661777181208","MI","Conner Creek","building","20327 Groesbeck Highway, Detroit, MI 48205, United States of America","20327 Groesbeck Highway","Detroit, MI 48205, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRCXWW+J5","CXWW+J5 Detroit, Wayne County, United States","-0.73","3.8183780827753915","1","1","1","full_match","51ace4fea44ac054c05965df69c52a394540f00102f901f073850000000000c00203","","","","","","","","","",""
"100 W. Cloverland DR, Ironwood, MI 49938","100","w. cloverland dr","49938","ironwood","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Gogebic County","Ironwood","","49938","West Cloverland Drive","100","-90.172859","46.463379","MI","","building","100 West Cloverland Drive, Ironwood, MI 49938, United States of America","100 West Cloverland Drive","Ironwood, MI 49938, United States of America","","America/Menominee","-06:00","-21600","-05:00","-18000","CST","CDT","86RFFR7G+9V","7G+9V Ironwood, Gogebic County, United States","-0.74","0.9059413863385465","1","1","1","full_match","516ff4311f108b56c0599c53c900503b4740f00102f901a829953d00000000c00203","","","","","","","","","",""
"804 Clark ST, Big Rapids, MI 49307","804","clark st","49307","big rapids","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Mecosta County","Big Rapids","","49307","Clark Street","804","-85.48525108477416","43.689490864217106","MI","","building","804 Clark Street, Big Rapids, MI 49307, United States of America","804 Clark Street","Big Rapids, MI 49307, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MPMGQ7+QV","Q7+QV Big Rapids, Mecosta County, United States","-0.8399999999999999","1.3736716713568577","1","1","1","full_match","5107dd905a0e5f55c059045a943c41d84540f00102f901eff9100100000000c00203","","","","","","","","","",""
"2040 Merritt Road, East Lansing, MI 48823","2040","merritt road","48823","east lansing","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ingham County","East Lansing","","48823","Merritt Road","2040","-84.45229341742503","42.74738921389571","MI","","building","2040 Merritt Road, East Lansing, MI 48823, United States of America","2040 Merritt Road","East Lansing, MI 48823, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQPGWX+X3","PGWX+X3 East Lansing, Ingham County, United States","-0.8399999999999999","2.300172252508598","1","1","1","full_match","5157021760f21c55c05959882373aa5f4540f00102f90122db0f0100000000c00203","","","","","","","","","",""
"60695 Gratiot Ave, Lenox, MI 48048","60695","gratiot ave","48048","lenox","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Macomb County","New Haven","","48048","Gratiot Avenue","60695","-82.774984","42.747586","MI","Lenox Township","building","60695 Gratiot Avenue, New Haven, MI 48048, United States of America","60695 Gratiot Avenue","New Haven, MI 48048, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JVP6XG+22","P6XG+22, 48048 New Haven, United States","","2.297378282128253","1","1","1","full_match","5117bb7d5699b154c0594679e6e5b05f4540c00203e203486f70656e6164647265737365733a616464726573733a75732f6d692f6d61636f6d622d6164647265737365732d636f756e74792e6373763a39376537313538303462336334366537","","","","","","","","","",""
"415 N State RD, Davison, MI 48423","415","n state rd","48423","davison","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Genesee County","Davison","","48423","North State Road","415","-83.5183082217608","43.033399450000005","MI","","building","415 North State Road, Davison, MI 48423, United States of America","415 North State Road","Davison, MI 48423, United States of America","building.residential","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MR2FMJ+9M","MJ+9M Davison, Genesee County, United States","0.41000999999999993","2.1808144896905874","1","1","1","full_match","517a6d3ff62be154c0592abae46e46844540f00102f901437b782400000000c00203","","","","","","","","","",""
"344 West Washington ST, Marquette, MI 49855","344","west washington st","49855","marquette","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Marquette County","Marquette","","49855","West Washington Street","344","-87.39859295918367","46.54415436734694","MI","","building","344 West Washington Street, Marquette, MI 49855, United States of America","344 West Washington Street","Marquette, MI 49855, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RJGJV2+MH","V2+MH Marquette, Marquette County, United States","-0.74","1.3059974274338224","1","1","1","full_match","5106070b8c82d955c05987ddadd9a6454740f00102f901b10a8b0800000000c00203","","","","","","","","","",""
"220 E M-28, Munising, MI 49862","220","e m-28","49862","munising","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Alger County","Munising","","49862","Cedar Street","220","-86.65064854454121","46.40820075","MI","Munising","building","220 Cedar Street, Munising, MI 49862, United States of America","220 Cedar Street","Munising, MI 49862, United States of America","building","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RMC85X+7P","5X+7P Munising, Alger County, United States","0.00000999999999995449","0.9927284300508828","0.9","1","0.9","full_match","51a6ffca39a4a955c059f1b913ec3f344740f00102f90140fb740d00000000c00203e203236f70656e7374726565746d61703a616464726573733a7761792f323235373730333034","","","","","","","","","",""
"46479 US 41 HWY, Houghton, MI 49931","46479","us 41 hwy","49931","houghton","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Houghton County","Houghton","Pilgrim","49931","US 41","46479","-88.5159575203996","47.08834336445615","MI","","building","46479 US 41, Houghton, MI 49931, United States of America","46479 US 41","Houghton, MI 49931, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86VH3FQM+8J","3FQM+8J, 49931 Houghton, United States","-0.8399999999999999","0.9347163451990368","0.9","1","0.9","full_match","51750fb172052156c0593294dad54e8b4740f00102f901d5d00f0100000000c00203","","","","Portage Township","","","","","",""
"824 East Cloverland DR, Ironwood, MI 49938","824","east cloverland dr","49938","ironwood","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Gogebic County","Ironwood","","49938","East Cloverland Drive","824","-90.15546544444445","46.463398595959596","MI","","building","824 East Cloverland Drive, Ironwood, MI 49938, United States of America","824 East Cloverland Drive","Ironwood, MI 49938, United States of America","","America/Menominee","-06:00","-21600","-05:00","-18000","CST","CDT","86RFFR7V+9R","FR7V+9R Ironwood, Gogebic County, United States","-0.74","0.9062466090035677","1","1","1","full_match","5102e35525f38956c05953542ba5503b4740f00102f901d383521100000000c00203","","","","","","","","","",""
"650 Murray RD, Norway, MI 49870","650","murray rd","49870","norway","mi","building","mixed","","","","United States","us","Michigan","Dickinson County","Norway","","49870","Murray Road","650","-87.92028","45.7907812","MI","Norway","building","650 Murray Road, Norway, MI 49870, United States of America","650 Murray Road","Norway, MI 49870, United States of America","","America/Menominee","-06:00","-21600","-05:00","-18000","CST","CDT","86QJQ3RH+8V","Q3RH+8V, 49870 Norway, United States","","0.97056468150022","1","1","1","full_match","516dca15dee5fa55c0595425805138e54640c00203e2031f6d697865643a616464726573733a706f6c796c696e653a3331373939363331","","","","","","","","","",""
"1400 8th AVE, Menominee, MI 49858","1400","8th ave","49858","menominee","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Menominee County","Menominee","","49858","8th Avenue","1400","-87.61703337991902","45.10612563658593","MI","","building","1400 8th Avenue, Menominee, MI 49858, United States of America","1400 8th Avenue","Menominee, MI 49858, United States of America","","America/Menominee","-06:00","-21600","-05:00","-18000","CST","CDT","86QJ494M+F5","4M+F5 Menominee, Menominee County, United States","-0.8399999999999999","1.1049568597643058","1","1","1","full_match","51b9d292797de755c059ae335d86958d4640f00102f901defd100100000000c00203","","","","","","","","","",""
"116 Superior AVE, Crystal Falls, MI 49920","116","superior ave","49920","crystal falls","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Iron County","Crystal Falls","","49920","Superior Avenue","116","-88.32866706166494","46.09687824050058","MI","","building","116 Superior Avenue, Crystal Falls, MI 49920, United States of America","116 Superior Avenue","Crystal Falls, MI 49920, United States of America","","America/Menominee","-06:00","-21600","-05:00","-18000","CST","CDT","86RH3MWC+QG","WC+QG Crystal Falls, Iron County, United States","-0.8399999999999999","0.9297410751507185","1","1","1","full_match","51e54792e1081556c0596f529581660c4740f00102f90191667e0200000000c00203","","","","","","","","","",""
"293 E. Columbia AVE, Battle Creek, MI 49015","293","e. columbia ave","49015","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","","49014","East Columbia Avenue","293","-85.1879947004049","42.2988279","MI","","building","293 East Columbia Avenue, Battle Creek, MI 49014, United States of America","293 East Columbia Avenue","Battle Creek, MI 49014, United States of America","building.residential","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7RX6+GR","7RX6+GR, 49014 Battle Creek, United States","0.41000999999999993","1.9353557704764934","1","1","1","full_match","51dd83ec1a084c55c059f1d01cfe3f264540f00102f901a964c13d00000000c00203","","","","","","","","","",""
"752 Munson AVE, Traverse City, MI 49686","752","munson ave","49686","traverse city","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Grand Traverse County","East Bay Township","","49686","Munson Avenue","752","-85.57106266666666","44.75411744444445","MI","","building","752 Munson Avenue, East Bay Township, MI 49686, United States of America","752 Munson Avenue","East Bay Township, MI 49686, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PPQC3H+JH","","-0.8399999999999999","1.4424589554232918","1","1","1","full_match","5131536d4a8c6455c059b29da0eb86604640f00102f9017534a12d00000000c00203","","","","","","","","","",""
"3769 W. MICHIGAN AVE, BATTLE CREEK, MI 49037","3769","w. michigan ave","49037","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Bedford Charter Township","Level Park","49037","West Michigan Avenue","","-85.274302","42.358899","MI","","street","West Michigan Avenue, Bedford Charter Township, MI 49037, United States of America","West Michigan Avenue","Bedford Charter Township, MI 49037, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP9P5G+H7","","0.5100099999999999","1.7950406289050658","0.5","1","1","match_by_street","518ecef9298e5155c05997c80567f02d4540f00102f90159e10e0100000000c0020492031457657374204d6963686967616e204176656e7565","","West Michigan Avenue","","","","","M 89","","",""
"840 South Main Street, Adrian, MI 49221","840","south main street","49221","adrian","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Lenawee County","Adrian","","49221","South Main Street","840","-84.04356666666666","41.8867098989899","MI","","building","840 South Main Street, Adrian, MI 49221, United States of America","840 South Main Street","Adrian, MI 49221, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQVXP4+MH","P4+MH, 49221 Adrian, United States","-0.74","2.085777784467503","1","1","1","full_match","51dc21d8cbc90255c059bd99c0b57ff14440f00102f9019462720200000000c00203","","","","","","","","","",""
"363 N. Willowbrook Rd., Coldwater, MI 49036","363","n. willowbrook rd.","49036","coldwater","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Branch County","Coldwater","","49036","North Willowbrook Road","363","-84.97139598695652","41.9537736","MI","","building","363 North Willowbrook Road, Coldwater, MI 49036, United States of America","363 North Willowbrook Road","Coldwater, MI 49036, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQX23H+GC","X23H+GC, 49036 Coldwater, United States","-0.74","1.74779579023623","1","1","1","full_match","5169dc125a2b3e55c059e3e4d94015fa4440f00102f90144b10e0100000000c00203","","","","Coldwater Township","","","","","",""
"6295 East 36th ST, White Cloud, MI 49349","6295","east 36th st","49349","white cloud","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Newaygo County","White Cloud","","49349","East 36th Street","6295","-85.644481","43.490246","MI","Big Prairie Township","building","6295 East 36th Street, White Cloud, MI 49349, United States of America","6295 East 36th Street","White Cloud, MI 49349, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MPF9R4+36","F9R4+36 White Cloud, Newaygo County, United States","","1.387116855748972","1","1","1","full_match","512d793c2d3f6955c059567f8461c0be4540c00203e203496f70656e6164647265737365733a616464726573733a75732f6d692f6e65776179676f2d6164647265737365732d636f756e74792e6373763a36623563663233663564373337336137","","","","","","","","","",""
"5025 S. Pennsylvania AVE, Lansing, MI 48910","5025","s. pennsylvania ave","48910","lansing","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ingham County","Lansing","","48910","South Pennsylvania Avenue","5025","-84.53765215","42.68331015","MI","","building","5025 South Pennsylvania Avenue, Lansing, MI 48910, United States of America","5025 South Pennsylvania Avenue","Lansing, MI 48910, United States of America","building.commercial","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQMFM6+8W","MFM6+8W, 48910 Lansing, United States","0.41000999999999993","2.5318659534208203","1","1","1","full_match","51f13790e4682255c0592ea3fdb476574540f00102f9019d19ce2b00000000c00203","","","","","","","","","",""
